Date,Portfolio name,Program Type,Campaign Name,Retailer,Country,Status,Currency,Budget Amount,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),"7 Day Total Sales "
"Jun 01, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,26564,,133,,0.501%,$136.03,,$1.022782,$0.0,19,47.404%,2.11,$286.96
"Jun 01, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,3099,,30,,0.968%,$42.2,,$1.4066667000000002,$0.0,3,103.43100000000001%,0.97,$40.8
"Jun 01, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,1435,,33,,2.3%,$43.44,,$1.3163635999999999,$0.0,11,20.935000000000002%,4.78,$207.5
"Jun 02, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,18198,,103,,0.5660000000000001%,$59.74,,$0.58,$0.0,17,25.085%,3.99,$238.15
"Jun 02, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,9207,,54,,0.587%,$37.56,,$0.6955556,$0.0,7,37.485%,2.67,$100.2
"Jun 02, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,3066,,56,,1.8259999999999998%,$42.23,,$0.7541070999999999,$0.0,15,15.306000000000001%,6.53,$275.9
"Jun 02, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,1259,,15,,1.191%,$9.81,,$0.654,$0.0,1,57.706%,1.73,$17.0
"Jun 03, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,18578,,109,,0.587%,$79.54,,$0.7297248000000001,$0.0,22,23.383000000000003%,4.28,$340.16
"Jun 03, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,9401,,69,,0.734%,$295.57,,$4.2836232,$0.0,14,108.271%,0.92,$272.99
"Jun 03, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,3149,,31,,0.984%,$21.91,,$0.7067742,$0.0,2,57.658%,1.73,$38.0
"Jun 03, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,24389,,126,,0.517%,$73.53,,$0.5835714,$0.0,17,31.202999999999996%,3.2,$235.65
"Jun 04, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,12766,,58,,0.45399999999999996%,$13.33,,$0.2298276,$0.0,8,10.856%,9.21,$122.79
"Jun 04, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,18371,,104,,0.5660000000000001%,$61.11,,$0.5875962,$0.0,14,35.343999999999994%,2.83,$172.9
"Jun 04, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,7135,,28,,0.392%,$131.17,,$4.6846429,$0.0,3,171.017%,0.58,$76.7
"Jun 04, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,3121,,47,,1.506%,$31.24,,$0.6646809,$0.0,11,16.644000000000002%,6.01,$187.7
"Jun 05, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,2282,,18,,0.7889999999999999%,$11.58,,$0.6433333,$0.0,2,32.167%,3.11,$36.0
"Jun 05, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,15255,,55,,0.361%,$13.02,,$0.2367273,$0.0,9,11.292%,8.86,$115.3
"Jun 05, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,11303,,37,,0.327%,$137.46,,$3.7151351,$0.0,5,99.82600000000001%,1.0,$137.7
"Jun 05, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,31956,,217,,0.679%,$127.71,,$0.5885253,$0.0,26,34.510999999999996%,2.9,$370.06
"Jun 06, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,16885,,356,,2.108%,$83.94,,$0.2357865,$0.0,79,7.074%,14.14,$1186.58
"Jun 06, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,29763,,219,,0.736%,$133.3,,$0.6086758,$0.0,26,33.614%,2.97,$396.56
"Jun 06, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,5588,,31,,0.555%,$145.13,,$4.6816129,$0.0,2,316.187%,0.32,$45.9
"Jun 06, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,4406,,33,,0.749%,$20.8,,$0.630303,$0.0,1,148.571%,0.67,$14.0
"Jun 07, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,14089,,187,,1.327%,$42.03,,$0.22475940000000003,$0.0,55,4.97%,20.12,$845.7
"Jun 07, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,8128,,168,,2.067%,$104.71,,$0.6232738,$0.0,35,20.236%,4.94,$517.44
"Jun 07, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,4441,,75,,1.6889999999999998%,$45.26,,$0.6034667,$0.0,10,27.672%,3.61,$163.56
"Jun 07, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,5828,,81,,1.39%,$142.54,,$1.7597531000000002,$0.0,17,50.483%,1.98,$282.35
"Jun 08, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,10654,,152,,1.427%,$34.94,,$0.2298684,$0.0,36,5.632000000000001%,17.75,$620.35
"Jun 08, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,7959,,114,,1.432%,$147.09,,$1.2902632,$0.0,26,33.134%,3.02,$443.92
"Jun 08, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,3227,,42,,1.302%,$26.25,,$0.625,$0.0,4,36.529%,2.74,$71.86
"Jun 08, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,6592,,128,,1.942%,$79.84,,$0.62375,$0.0,16,37.875%,2.64,$210.8
"Jun 09, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,9350,,161,,1.722%,$47.39,,$0.2943478,$0.0,31,11.26%,8.88,$420.88
"Jun 09, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,3637,,93,,2.557%,$147.03,,$1.5809677,$0.0,0,0.0%,0.0,$0.0
"Jun 09, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,2025,,113,,5.58%,$37.88,,$0.3352212,$0.0,14,20.298%,4.93,$186.62
"Jun 09, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,2268,,109,,4.806%,$16.09,,$0.1476147,$0.0,24,4.797%,20.85,$335.43
"Jun 10, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,7115,,158,,2.221%,$24.14,,$0.1527848,$0.0,26,7.158%,13.97,$337.24
"Jun 10, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,1309,,26,,1.986%,$88.09,,$3.3880768999999997,$0.0,0,0.0%,0.0,$0.0
"Jun 10, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,3231,,129,,3.993%,$42.79,,$0.33170540000000004,$0.0,23,12.918%,7.74,$331.24
"Jun 10, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,1005,,42,,4.179%,$40.06,,$0.9538095,$0.0,3,99.776%,1.0,$40.15
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,3730,,39,,1.046%,$7.11,,$0.1823077,$0.0,4,19.533%,5.12,$36.4
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4001,,126,,3.1489999999999996%,$39.17,,$0.310873,$0.0,25,11.19%,8.94,$350.04
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,13994,,313,,2.237%,$63.25,,$0.2020767,$0.0,49,8.559999999999999%,11.68,$738.89
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,2810,,43,,1.53%,$29.07,,$0.6760465000000001,$0.0,5,26.168000000000003%,3.82,$111.09
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,289,,3,,1.038%,$3.2,,$1.0666666999999999,$0.0,0,0.0%,0.0,$0.0
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,5491,,51,,0.9289999999999999%,$37.57,,$0.7366667,$0.0,3,48.167%,2.08,$78.0
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,15553,,324,,2.083%,$71.2,,$0.2197531,$0.0,45,9.942%,10.06,$716.17
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,3603,,85,,2.359%,$26.83,,$0.3156471,$0.0,15,10.184%,9.82,$263.45
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,5824,,71,,1.2189999999999999%,$13.48,,$0.1898592,$0.0,12,6.808%,14.69,$197.99
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,874,,19,,2.174%,$18.69,,$0.9836842,$0.0,6,31.465%,3.18,$59.4
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4230,,100,,2.3640000000000003%,$32.3,,$0.32299999999999995,$0.0,6,46.302%,2.16,$69.76
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,6799,,82,,1.206%,$15.15,,$0.1847561,$0.0,5,25.852999999999998%,3.87,$58.6
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,5992,,60,,1.001%,$43.82,,$0.7303333000000001,$0.0,5,52.354%,1.91,$83.7
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,452,,5,,1.106%,$5.21,,$1.042,$0.0,1,58.538999999999994%,1.71,$8.9
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,18619,,438,,2.352%,$98.37,,$0.224589,$0.0,60,12.145999999999999%,8.23,$809.91
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,131,,3,,2.29%,$3.2,,$1.0666666999999999,$0.0,0,0.0%,0.0,$0.0
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,22437,,401,,1.7870000000000001%,$91.99,,$0.22940149999999998,$0.0,53,12.463000000000001%,8.02,$738.13
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4470,,96,,2.1479999999999997%,$30.74,,$0.32020829999999995,$0.0,14,14.834%,6.74,$207.22
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,6914,,64,,0.9259999999999999%,$11.94,,$0.1865625,$0.0,11,9.11%,10.98,$131.06
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,6084,,97,,1.5939999999999999%,$70.73,,$0.7291753,$0.0,17,25.014999999999997%,4.0,$282.75
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,4105,,92,,2.241%,$22.57,,$0.2453261,$0.0,11,15.326999999999998%,6.52,$147.26
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,7313,,166,,2.27%,$74.94,,$0.45144579999999995,$0.0,27,15.448%,6.47,$485.1
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,6170,,57,,0.924%,$38.6,,$0.677193,$0.0,2,129.097%,0.77,$29.9
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,670,,3,,0.44799999999999995%,$2.08,,$0.6933333,$0.0,1,10.452%,9.57,$19.9
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,41820,,511,,1.222%,$147.99,,$0.2896086,$0.0,54,17.915%,5.58,$826.09
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,6225,,121,,1.944%,$49.32,,$0.40760330000000006,$0.0,18,16.608%,6.02,$296.96
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,16163,,119,,0.736%,$98.32,,$0.8262185,$0.0,9,80.379%,1.24,$122.32
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,15274,,240,,1.5709999999999997%,$59.59,,$0.2482917,$0.0,36,12.304%,8.13,$484.33
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,3300,,31,,0.9390000000000001%,$22.08,,$0.7122581,$0.0,4,41.117%,2.43,$53.7
"Jun 16, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,5353,,80,,1.494%,$7.71,,$0.09637499999999999,$0.0,12,4.216%,23.72,$182.86
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,113,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,6,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,19416,,311,,1.6019999999999999%,$73.18,,$0.23530550000000003,$0.0,49,10.834000000000001%,9.23,$675.48
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,4117,,106,,2.5749999999999997%,$10.92,,$0.1030189,$0.0,15,4.714%,21.21,$231.65
"Jun 17, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4961,,105,,2.117%,$33.88,,$0.3226667,$0.0,20,11.774999999999999%,8.49,$287.72
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,18404,,184,,1.0%,$34.47,,$0.18733699999999998,$0.0,28,9.439%,10.59,$365.19
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,United States,PAUSED,USD,$33.0,Automatic targeting,Dynamic bids - down only,3598,,99,,2.752%,$10.1,,$0.10202019999999999,$0.0,15,3.936%,25.41,$256.62
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,United States,PAUSED,USD,$8.0,Manual targeting,Dynamic bids - down only,215,,6,,2.791%,$1.2,,$0.2,$0.0,0,0.0%,0.0,$0.0
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,56,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,United States,PAUSED,USD,$42.0,Manual targeting,Dynamic bids - down only,4425,,82,,1.8530000000000002%,$26.63,,$0.32475610000000005,$0.0,12,17.376%,5.76,$153.26
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,United States,PAUSED,USD,$20.1,Automatic targeting,Dynamic bids - down only,45,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,United States,PAUSED,USD,$44.0,Automatic targeting,Dynamic bids - down only,20554,,189,,0.9199999999999999%,$35.6,,$0.1883598,$0.0,24,11.014%,9.08,$323.22
